repo,subrepo,lang,n_project,n_folder,n_file,n_scope,n_type,n_operation,n_operation_method,n_operation_constructor,n_variable,n_variable_field,n_variable_param,e_includes,e_contains,e_requires,e_declares,e_encloses,e_specializes,e_encapsulates,e_returns,e_instantiates,e_invokes,e_uses,e_parameterizes,e_typed,methods_per_class_mean,methods_per_class_median,methods_per_class_max,methods_per_class_std,fields_per_class_mean,fields_per_class_median,fields_per_class_max,call_fanout_mean,call_fanout_median,call_fanout_max,call_fanout_std,call_fanin_mean,call_fanin_median,call_fanin_max,call_fanin_std,arity_mean,arity_median,arity_max,field_uses_fanin_mean,field_uses_fanin_max,inh_parents_mean,inh_children_mean,inh_children_max,inh_depth_max,inh_depth_mean,file_req_out_mean,file_req_out_max,file_req_in_mean,file_req_in_max,fs_depth_max,scope_depth_max,scope_to_scope_fanout_mean,scope_to_scope_fanout_p90,scope_to_scope_fanout_max,scope_to_type_fanout_mean,scope_to_type_fanout_p90,scope_to_type_fanout_max,folder_to_folder_fanout_mean,folder_to_folder_fanout_p90,folder_to_folder_fanout_max,folder_to_file_fanout_mean,folder_to_file_fanout_p90,folder_to_file_fanout_max,num_methods_mean,num_methods_median,num_methods_max,stmts_mean,stmts_median,stmts_p90,stmts_max,stmts_std,halstead_vocabulary_mean,halstead_length_mean,halstead_volume_mean,halstead_difficulty_mean,halstead_effort_mean,halstead_estimatedBugs_mean,halstead_volume_p90,halstead_effort_p90,coverage_requires,coverage_specializes,coverage_instantiates,coverage_typed,n_type_inbound,n_type_outbound,n_type_transit,n_type_hidden,pct_type_classified,pkg_pct_inbound_mean,pkg_pct_outbound_mean,pkg_pct_transit_mean,pkg_pct_hidden_mean,pkg_pct_inbound_max,pkg_pct_outbound_max,pkg_pct_transit_max,pkg_pct_hidden_max,pkg_profile_entropy_mean,pct_pkg_dominant_inbound,pct_pkg_dominant_outbound,pct_pkg_dominant_transit,pct_pkg_dominant_hidden
0xZ0F__Z0FCourse_ReverseEngineering,,cpp,1,8,5,0,2,8,0,0,47,3,19,0,13,0,61,0,0,39,0,0,0,26,0,1,0,0,0,0,1.5,1.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,6,,,,,,,,0.875,2,2,0.625,2,2,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,2,1,,,,,,,,,,,,,
360Controller__360Controller,,cpp,1,8,50,2,79,308,268,11,1344,232,736,34,58,0,1900,15,5,1611,0,4,79,499,0,55,3.53165,0,62,11.0073,2.93671,0,35,0.256494,0,4,0.566193,0.253247,0,15,1.29465,0,0,0,0.732759,6,0.0632911,0.0632911,3,2,1.2,0,0,0,0,3,0,0,0,0,0,0,0,0.875,7,7,6.25,15,15,,,,,,,,,34.0297,121.371,698.135,16.2795,30225.6,0.232712,1446.87,46782.6,0,1,1,1,0,0,0,79,1,,,,,,,,,,,,,
AGWA__git-crypt,,cpp,1,1,26,0,49,290,80,35,832,71,458,37,27,0,1271,17,0,923,0,10,102,401,0,26,2.34694,1,16,3.64524,1.44898,1,8,0.351724,0,21,1.5404,0.348276,0,6,0.783062,0,0,0,0.690141,5,0,0,0,,,0,0,0,0,2,,,,,,,,0,0,0,26,26,26,,,,,,,,,23.2742,48.5645,235.764,10.4319,3887.22,0.0785878,552.202,9509.8,0,0,1,1,0,0,0,49,1,,,,,,,,,,,,,
AaronFeng753__Waifu2x-Extension-GUI,,cpp,1,4,35,1,5,516,490,2,5447,162,849,33,39,0,6448,2,0,5940,0,0,362,2891,0,0,98.4,0,490,195.802,32.4,0,160,0.70155,0,58,3.5328,0.70155,0,37,2.34026,0,0,0,4.56173,293,0,0,0,,,0,0,0,0,4,0,0,0,0,2,2,2,0.75,2,2,8.75,32,32,,,,,,,,,57.6133,315.849,2196.11,22.116,123373,0.732037,5404.66,280832,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,1,0,0,0,0,1
Aircoookie__WLED,,cpp,1,74,185,7,434,2057,1015,156,8798,787,3026,155,259,0,11944,493,51,9429,156,88,2178,8122,501,516,2.69816,0,106,8.73964,1.81336,0,38,1.05882,0,38,2.40036,1.05737,0,176,6.2701,0.196403,0,10,2.09784,124,0.117512,0.117512,9,2,1.09302,0,0,0,0,8,1,0.571429,3,3,31.8571,173,173,0.986486,0,57,2.5,3,60,,,,,,,,,43.5813,606.757,4854.82,34.9782,1.70655e+06,1.61827,2371.51,108313,0,1,1,1,0,0,0,434,1,0,0,0,1,0,0,0,1,0,0,0,0,1
Alex313031__thorium,,cpp,1,137,135,94,150,1462,554,70,5437,320,2384,55,272,0,7525,1800,5,5037,31,20,311,1683,5,113,4.16,0,224,19.1217,2.13333,0,51,0.212722,0,8,0.691379,0.209986,0,37,1.40318,0.00273598,0,1,0.625,13,0.0333333,0.0333333,3,2,1.2,0,0,0,0,9,2,0.457447,1,3,0.808511,2,22,0.992701,3,14,0.985401,2,14,,,,,,,,,29.863,74.1554,410.907,10.3484,8303.7,0.136969,993.691,18636.4,0,1,1,1,1,3,0,146,1,0,0.030303,0,0.969697,0,1,0,1,0.0122082,0,0.0277778,0,0.972222
Alinshans__MyTinySTL,,cpp,1,6,45,17,672,1900,1061,234,7633,73,3016,43,51,0,10276,1139,114,8646,212,81,572,6307,1262,242,1.92708,0,115,8.91523,0.108631,0,6,0.301053,0,18,0.776564,0.255789,0,82,2.18243,0.583684,0,5,18.274,81,0.169643,0.169643,81,3,1.02632,0,0,0,0,5,2,0.882353,1,12,12.6471,81,124,0.833333,2,2,7.5,29,29,,,,,,,,,16.6118,32.0125,150.164,9.47993,3254.14,0.0500547,400,8660.72,0,1,1,1,1,82,0,589,1,0.1,0.201613,0,0.698387,0.5,1,0,1,0.213534,0,0.2,0,0.8
Arduino-IRremote__Arduino-IRremote,,cpp,1,27,68,0,14,279,240,11,669,68,556,8,95,0,1041,0,0,915,0,0,75,154,0,12,17.9286,0,87,30.4571,4.85714,5.5,12,0.268817,0,6,0.635956,0.268817,0,18,1.55524,0,0,0,0.882353,7,0,0,0,,,0,0,0,0,4,,,,,,,,0.962963,1,23,2.51852,4,33,,,,,,,,,18.5679,33.1235,153.185,6.89897,1908.7,0.0510617,277.442,3018.54,0,0,0,1,0,0,0,14,1,,,,,,,,,,,,,
AutoHotkey__AutoHotkey,,cpp,1,7,143,1,487,2805,1471,117,18137,1362,9418,314,150,0,23040,107,23,19351,317,113,1996,15586,39,1248,3.26078,0,183,14.9805,2.79671,0,77,0.711586,0,23,1.50693,0.706595,0,48,2.96645,0.00784314,0,2,2.00881,134,0.0472279,0.0472279,9,2,1.13636,0,0,0,0,6,0,0,0,0,0,0,0,0.857143,3,3,20.4286,69,69,,,,,,,,,35.2252,126.245,815.349,15.0327,56495.4,0.271783,1458.46,42704.6,0,1,1,1,4,4,1,478,1,,,,,,,,,,,,,
BlueMatthew__WechatExporter,,cpp,1,4,75,0,95,809,595,57,3275,274,1831,92,79,0,4477,16,8,3934,2,29,155,1254,14,72,6.86316,3,66,10.7807,2.88421,2,18,0.191595,0,16,0.950768,0.185414,0,9,0.575765,0.0148331,0,2,0.821168,14,0.0842105,0.0842105,4,1,1,0,0,0,0,4,,,,,,,,0.75,2,2,18.75,45,45,,,,,,,,,31.5769,93.5635,551.921,13.537,19475.3,0.183974,1178.66,32731,0,1,1,1,4,4,1,86,1,,,,,,,,,,,,,
Const-me__Whisper,,cpp,1,30,279,20,359,1380,365,55,6924,782,3571,572,309,0,8961,527,24,7256,52,23,853,5358,34,325,1.16992,0,31,3.35405,2.17827,0,28,0.618116,0,33,1.80975,0.600725,0,30,1.81958,0.0181159,0,2,1.39258,61,0.0668524,0.0668524,9,1,1,0,0,0,0,6,2,0.65,1,6,7.9,18,48,0.966667,3,10,9.3,20,42,,,,,,,,,19.5137,40.6995,200.758,8.30257,3606.38,0.0669195,474.06,7721.58,0,1,1,1,2,2,0,355,1,0.00859557,0.0192308,0,0.972174,0.0909091,0.25,0,1,0.107451,0,0,0,1
DarthTon__Blackbone,,cpp,1,32,229,16,1282,1953,1212,179,12278,3624,2961,378,261,0,16117,1067,50,13577,63,14,252,1924,320,763,1.08502,0,68,4.87149,2.82683,0,154,0.129032,0,7,0.500631,0.12596,0,27,0.831723,0.0706605,0,4,0.157837,16,0.0390016,0.0390016,12,2,1.02,0,0,0,0,7,2,0.6875,3,5,38.5,156,170,0.96875,2,12,7.15625,15,36,,,,,,,,,26.0737,64.8702,352.677,11.3927,9549.22,0.117559,851.671,18584.4,0,1,1,1,2,3,0,1277,1,0.00111751,0.0194105,0,0.979472,0.00641026,0.2,0,1,0.0860501,0,0,0,1
DayBreak-u__chineseocr_lite,,cpp,1,38,136,3,90,411,215,28,3197,196,1330,135,174,0,9070,153,2,3416,30,31,266,2515,14,192,2.7,0,56,8.06839,2.17778,0,17,0.647202,0,12,1.62241,0.647202,0,11,1.2221,0.0316302,0,3,3.5,42,0.0222222,0.0222222,1,1,1,0,0,0,0,9,0,0,0,0,16.6667,36,36,0.973684,3,3,3.57895,11,13,,,,,,,,,35.7432,159.579,945.348,24.8623,62098.9,0.315116,2289.42,158675,0,1,1,1,1,1,0,88,1,0,0.0277778,0,0.972222,0,0.0833333,0,1,0.137939,0,0,0,1
FastLED__FastLED,,cpp,1,23,137,0,124,803,402,125,3046,91,1690,67,160,0,4092,30,11,3584,41,80,501,2881,133,221,4.25,0,57,9.60983,0.733871,0,10,0.62391,0,7,0.985841,0.62391,0,27,1.89067,0.0747198,0,5,6.86813,50,0.0887097,0.0887097,3,2,1.18182,0,0,0,0,6,,,,,,,,0.956522,2,13,5.95652,8,39,,,,,,,,,19.6525,48.3398,234.492,10.4211,4830.31,0.0781639,534.706,9392.9,0,1,1,1,0,0,0,124,1,,,,,,,,,,,,,
HKUST-Aerial-Robotics__VINS-Mono,,cpp,1,35,108,12,180,1058,714,114,6554,574,2678,139,143,0,8621,213,21,7125,17,39,278,3798,145,130,4.6,2,56,7.7119,3.18889,0,70,0.26276,0,13,1.17912,0.255198,0,10,0.756257,0.125709,0,4,1.15157,14,0.116667,0.116667,6,1,1,0,0,0,0,6,0,0,0,0,7.25,22,31,0.971429,3,7,3.08571,7,14,,,,,,,,,35.5937,159.754,981.261,20.2575,64165,0.327087,2610,125938,0,1,1,1,7,8,1,164,1,0.0666667,0.0252199,0.1,0.808113,0.333333,0.16129,1,1,0.291348,0,0,0.1,0.9
HackerPoet__NonEuclidean,,cpp,1,2,52,0,43,252,184,38,803,110,325,87,54,0,1189,2,16,966,55,72,206,882,6,90,5.16279,2,44,9.13193,2.55814,1,17,0.81746,0,14,1.97966,0.81746,0,15,1.91237,0.0238095,0,1,3.68182,52,0.372093,0.372093,9,2,1.0625,0,0,0,0,3,,,,,,,,0.5,1,1,26,52,52,,,,,,,,,26.4375,94.3846,513.753,14.9967,28890.8,0.171251,1282.76,36402.8,0,1,1,1,1,1,0,41,1,,,,,,,,,,,,,
LANDrop__LANDrop,,cpp,1,2,27,1,22,93,74,12,265,54,90,36,29,0,438,9,2,356,0,0,8,79,0,8,3.90909,4,14,4.08889,2.45455,2,9,0.0860215,0,1,0.280396,0.0860215,0,2,0.316429,0,0,0,0.5,7,0.0909091,0.0909091,2,1,1,0,0,0,0,3,0,0,0,0,5,5,5,0.5,1,1,13.5,27,27,,,,,,,,,34.0133,91.4,505.829,11.3763,9092.91,0.16861,1230,22404.6,0,1,0,1,0,0,0,22,1,0,0,0,1,0,0,0,1,0,0,0,0,1
LordNoteworthy__al-khaser,,cpp,1,13,145,0,86,427,9,3,1379,328,135,147,158,0,2160,15,0,1350,0,0,110,507,1,63,0.139535,0,5,0.631771,3.81395,0,86,0.257611,0,39,1.9512,0.238876,0,28,1.59598,0.00234192,0,1,0.0914634,5,0,0,0,,,0,0,0,0,5,,,,,,,,0.923077,2,8,11.1538,23,72,,,,,,,,,30.875,85.875,456.039,15.9926,10913.7,0.152013,1398.44,44002.6,0,0,0,1,0,0,0,86,1,,,,,,,,,,,,,
MatsuriDayo__nekoray,,cpp,1,25,135,58,167,788,523,83,2970,541,1107,228,160,0,4466,241,27,3412,89,37,189,1556,13,272,3.62874,1,58,6.96311,3.23952,2,84,0.239848,0,9,0.758763,0.238579,0,9,0.852845,0.0164975,0,4,0.7061,17,0.161677,0.161677,10,2,1.2963,0,0,0,0,8,2,0.465517,3,3,1.65517,3,19,0.96,2,8,5.4,18,21,,,,,,,,,40.4806,149.651,936.261,16.3324,34070.2,0.312087,2374.21,84270.7,0,1,1,1,6,4,2,155,1,0.0797297,0.027027,0.0135135,0.87973,1,1,0.5,1,0.0954921,0.0540541,0.027027,0,0.918919
MicroCBer__BetterNCM,,cpp,1,3,23,4,51,143,53,10,658,88,257,35,26,0,933,47,4,618,8,6,18,217,19,19,1.23529,0,18,3.27551,1.72549,0,15,0.125874,0,6,0.657045,0.111888,0,2,0.356849,0.125874,0,4,0.204545,3,0.0784314,0.0784314,4,1,1,0,0,0,0,4,1,0.25,1,1,1.5,3,3,0.666667,1,1,7.66667,18,18,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,51,1,0,0,0,1,0,0,0,1,0,0,0,0,1
N64Recomp__N64Recomp,,cpp,1,5,6,1,19,55,4,10,602,98,187,4,11,0,683,17,0,531,2,5,11,344,5,15,0.736842,0,4,1.0683,5.15789,3,19,0.2,0,3,0.643852,0.0545455,0,1,0.227091,0.0909091,0,3,0.561224,5,0,0,0,,,0,0,0,0,4,0,0,0,0,14,14,14,0.8,3,3,1.2,4,4,,,,,,,,,43.3,241.4,1616.18,19.4595,96087.1,0.538728,5286.01,214112,0,0,1,1,0,0,0,19,1,0,0,0,1,0,0,0,1,0,0,0,0,1
